epoch,val_loss,val_dice,train_loss
1,0.2891,71.65951,0.5203
2,0.233,75.08371,0.2982
3,0.2198,75.17621,0.2836
4,0.2039,76.51501,0.2513
5,0.2455,75.31016,0.2426
6,0.2287,74.08691,0.2603
7,0.1887,77.72365,0.2444
8,0.1883,78.97703,0.2297
9,0.1558,80.37662,0.1986
10,0.1803,77.21016,0.2
11,0.1999,77.15112,0.2078
12,0.2105,76.94035,0.2016
13,0.176,79.12454,0.1835
14,0.1799,79.10253,0.1956
15,0.1515,81.63671,0.1835
16,0.1712,79.18682,0.1834
17,0.1531,80.78491,0.1981
18,0.1597,80.76326,0.1931
19,0.1438,81.82295,0.1699
20,0.1961,76.88883,0.1655
21,0.1889,77.98001,0.1863
22,0.1427,82.08652,0.1709
23,0.1776,79.29397,0.1774
24,0.1459,82.98326,0.1703
25,0.1502,82.24658,0.1556
26,0.1513,81.37535,0.154
27,0.1471,81.34479,0.1531
28,0.1481,82.2022,0.1563
29,0.1375,82.27674,0.1534
30,0.1375,82.41406,0.1525
31,0.1335,83.00456,0.1571
32,0.1363,82.74752,0.1576
33,0.1453,81.7064,0.1574
34,0.1422,81.82768,0.1639
35,0.1468,81.74812,0.1597
36,0.1318,82.83358,0.1575
37,0.1377,82.62849,0.157
38,0.1331,82.87654,0.1463
39,0.1389,82.06862,0.1444
40,0.1371,82.32071,0.1583
41,0.1374,82.19939,0.1543
42,0.1422,82.1203,0.1606
43,0.1491,81.30512,0.1468
44,0.1368,83.00948,0.1386
45,0.134,82.48617,0.1473
46,0.1331,83.08912,0.1524
47,0.1292,83.45847,0.1228
48,0.1262,82.93147,0.1406
49,0.1322,83.45264,0.1477
50,0.1331,83.89449,0.1406
51,0.1295,83.26836,0.1514
52,0.1263,83.74365,0.1387
53,0.1437,82.68862,0.1376
54,0.1435,81.60493,0.148
55,0.1237,83.74175,0.1549
56,0.1217,83.72692,0.1444
57,0.1176,84.1661,0.1415
58,0.1242,83.32471,0.1413
59,0.1227,83.83714,0.1447
60,0.1261,83.45842,0.1422
61,0.1167,84.58891,0.1621
62,0.1247,83.38667,0.1437
63,0.1245,83.44748,0.146
64,0.1312,83.10842,0.1463
65,0.1353,82.82224,0.138
66,0.1263,83.167,0.138
67,0.1272,84.39174,0.1213
68,0.1228,83.77084,0.1335
69,0.1324,82.76341,0.1278
70,0.119,84.31638,0.1389
71,0.1306,82.57895,0.1392
72,0.1195,84.1748,0.1328
73,0.1227,84.22176,0.1417
74,0.1213,84.40445,0.1401
75,0.1299,83.95565,0.1354
76,0.1288,84.19267,0.1403
77,0.1264,83.84221,0.1221
78,0.1219,84.52879,0.1233
79,0.1238,84.45492,0.1243
80,0.1141,84.61268,0.1191
81,0.1238,83.92667,0.1277
82,0.1335,83.19538,0.1343
83,0.1233,84.09329,0.1286
84,0.1182,84.30177,0.1203
85,0.1183,83.98892,0.121
86,0.123,84.09342,0.1289
87,0.1247,83.36409,0.1242
88,0.1228,84.41912,0.1205
89,0.1204,84.338,0.1382
90,0.1242,84.23581,0.1304
91,0.1236,83.41541,0.1316
92,0.1238,84.12025,0.115
93,0.1234,83.5022,0.1192
94,0.1188,84.06974,0.1213
95,0.1206,83.91128,0.1182
96,0.1247,84.15545,0.1106
97,0.125,84.23328,0.1147
98,0.1251,84.13047,0.1181
99,0.1279,83.59201,0.1217
100,0.1278,83.41404,0.1218
